,year,Country,State,AverageTemperature,AverageTemperatureUncertainty,temp_diff
0,1900,Australia,Australian Capital Territory,11.66675,0.7008333333333333,0.0
1,1900,Australia,New South Wales,17.40908333333333,0.5059166666666667,0.0
2,1900,Australia,Northern Territory,25.486166666666666,0.5775833333333333,0.0
3,1900,Australia,Queensland,23.53425,0.4755833333333333,0.0
4,1900,Australia,South Australia,19.112083333333334,0.48333333333333334,0.0
5,1900,Australia,Tasmania,10.449666666666667,0.8401666666666667,0.0
6,1900,Australia,Victoria,13.732833333333332,0.5085833333333333,0.0
7,1900,Australia,Western Australia,22.092416666666665,0.4819166666666666,0.0
8,1900,Brazil,Acre,25.937250000000002,0.96325,0.0
9,1900,Brazil,Alagoas,24.889499999999998,1.3222500000000001,0.0
10,1900,Brazil,Amazonas,26.274583333333336,0.76675,0.0
11,1900,Brazil,Bahia,24.120333333333335,1.2056666666666667,0.0
12,1900,Brazil,Distrito Federal,21.88525,0.9285833333333334,0.0
13,1900,Brazil,Mato Grosso,25.766416666666668,0.757,0.0
14,1900,Brazil,Mato Grosso Do Sul,23.934416666666667,0.7325833333333334,0.0
15,1900,Brazil,Minas Gerais,21.831999999999997,1.032,0.0
16,1900,Brazil,Pernambuco,25.565166666666666,1.3809166666666668,0.0
17,1900,Brazil,Rio De Janeiro,21.6735,1.2322499999999998,0.0
18,1900,Brazil,Rio Grande Do Norte,27.21366666666667,1.4326666666666668,0.0
19,1900,Brazil,Rio Grande Do Sul,19.277,0.7735,0.0
20,1900,Brazil,Roraima,25.858666666666664,0.7130000000000001,0.0
21,1900,Brazil,Santa Catarina,18.711000000000002,0.75475,0.0
22,1900,Brazil,Sergipe,25.519583333333333,1.2908333333333333,0.0
23,1900,Brazil,Tocantins,25.984416666666664,0.959,0.0
24,1900,Canada,Alberta,0.11449999999999975,0.8419166666666666,0.0
25,1900,Canada,British Columbia,0.012250000000000169,0.6481666666666667,0.0
26,1900,Canada,Manitoba,-2.349250000000001,1.2915,0.0
27,1900,Canada,New Brunswick,3.954916666666666,0.49299999999999994,0.0
28,1900,Canada,Newfoundland And Labrador,-1.6988333333333336,0.8619166666666667,0.0
29,1900,Canada,Northwest Territories,-9.906083333333333,1.98625,0.0
30,1900,Canada,Nova Scotia,6.164083333333333,0.5354166666666667,0.0
31,1900,Canada,Nunavut,-13.492833333333332,2.426083333333333,0.0
32,1900,Canada,Ontario,0.564833333333333,0.7268333333333334,0.0
33,1900,Canada,Prince Edward Island,5.401500000000001,0.47700000000000004,0.0
34,1900,Canada,Saskatchewan,-0.1008333333333337,0.8773333333333334,0.0
35,1900,Canada,Yukon,-8.460916666666668,1.1480833333333333,0.0
36,1900,China,Anhui,15.055416666666666,1.0466666666666666,0.0
37,1900,China,Beijing,9.197583333333332,1.9087500000000002,0.0
38,1900,China,Chongqing,15.453083333333334,1.292,0.0
39,1900,China,Fujian,18.354333333333333,0.6518333333333334,0.0
40,1900,China,Gansu,4.938583333333334,1.309,0.0
41,1900,China,Guangdong,20.701916666666666,0.9533333333333333,0.0
42,1900,China,Guangxi,19.705083333333334,1.2375833333333333,0.0
43,1900,China,Guizhou,14.9995,1.2768333333333335,0.0
44,1900,China,Hainan,24.004583333333333,1.1260000000000001,0.0
45,1900,China,Hebei,9.177249999999999,1.7766666666666666,0.0
46,1900,China,Heilongjiang,0.8837500000000004,1.0023333333333333,0.0
47,1900,China,Henan,13.63825,1.4044999999999999,0.0
48,1900,China,Hubei,15.235333333333331,1.222,0.0
49,1900,China,Hunan,16.329916666666666,1.1493333333333333,0.0
50,1900,China,Jiangsu,14.583916666666667,0.9979166666666667,0.0
51,1900,China,Jiangxi,17.173916666666667,0.8722500000000001,0.0
52,1900,China,Jilin,4.162916666666667,1.1201666666666668,0.0
53,1900,China,Liaoning,7.537416666666666,1.2437500000000001,0.0
54,1900,China,Nei Mongol,3.109916666666667,1.2808333333333333,0.0
55,1900,China,Ningxia Hui,7.302500000000001,1.5448333333333333,0.0
56,1900,China,Qinghai,-2.3201666666666667,1.1613333333333333,0.0
57,1900,China,Shaanxi,10.304166666666665,1.4480833333333332,0.0
58,1900,China,Shandong,12.739666666666666,1.4933333333333334,0.0
59,1900,China,Shanghai,15.656833333333333,0.7785833333333333,0.0
60,1900,China,Shanxi,8.629083333333332,1.6518333333333333,0.0
61,1900,China,Sichuan,7.76875,1.12225,0.0
62,1900,China,Tianjin,11.548083333333333,1.9585000000000001,0.0
63,1900,China,Xinjiang Uygur,4.914083333333334,1.29425,0.0
64,1900,China,Xizang,-2.713416666666667,0.8344999999999999,0.0
65,1900,China,Yunnan,15.670916666666669,1.0179166666666666,0.0
66,1900,China,Zhejiang,16.182750000000002,0.6761666666666667,0.0
67,1900,India,Andaman And Nicobar,27.619,0.6139166666666667,0.0
68,1900,India,Andhra Pradesh,27.78525,0.6895833333333333,0.0
69,1900,India,Arunachal Pradesh,13.995416666666666,0.7670833333333333,0.0
70,1900,India,Assam,22.169666666666668,0.5781666666666666,0.0
71,1900,India,Bihar,24.770916666666665,0.47291666666666665,0.0
72,1900,India,Chandigarh,13.453750000000001,0.9205833333333334,0.0
73,1900,India,Chhattisgarh,26.320000000000004,0.6459166666666667,0.0
74,1900,India,Dadra And Nagar Haveli,25.42925,0.7420833333333334,0.0
75,1900,India,Daman And Diu,26.539666666666665,0.7221666666666667,0.0
76,1900,India,Delhi,25.55966666666667,0.5933333333333333,0.0
77,1900,India,Goa,26.228416666666664,0.8978333333333333,0.0
78,1900,India,Gujarat,26.639083333333332,0.5846666666666667,0.0
